timestamp,temperature,humidity,cloud_cover,wind_speed,weather_code,shortwave_radiation,direct_radiation,diffuse_radiation
2026-02-01T12:00,26.4,28,3,12.2,0,926.0,806.0,120.0
2026-02-01T13:00,27.5,25,2,11.9,0,940.0,834.0,106.0
2026-02-01T14:00,28.1,24,0,11.5,0,871.0,778.0,93.0
2026-02-01T15:00,28.1,23,0,11.2,0,736.0,655.0,81.0
2026-02-01T16:00,27.5,24,0,10.8,0,539.0,473.0,66.0
2026-02-01T17:00,26.5,27,0,10.5,0,297.0,253.0,44.0
2026-02-01T18:00,24.9,33,13,10.2,1,73.0,58.0,15.0
2026-02-01T19:00,22.9,41,25,9.9,1,0.0,0.0,0.0
2026-02-01T20:00,21.1,50,38,9.6,1,0.0,0.0,0.0
2026-02-01T21:00,19.8,60,38,9.2,1,0.0,0.0,0.0
2026-02-01T22:00,18.9,71,38,8.7,1,0.0,0.0,0.0
2026-02-01T23:00,18.1,79,38,7.9,1,0.0,0.0,0.0
